"Marca temporal","cantidad de dias","momento del dia","cadena de comida","edad"
"2021/06/17 9:27:41 a. m. GMT-3","1","Cena","Subway","17"
"2021/06/17 9:30:34 a. m. GMT-3","2","Cena","McDonald's","17"
"2021/06/17 9:31:32 a. m. GMT-3","1","Cena","Otra","17"
"2021/06/17 9:33:34 a. m. GMT-3","1","Cena","McDonald's","17"
"2021/06/17 9:33:41 a. m. GMT-3","1","Cena","Subway","17"
"2021/06/17 9:33:43 a. m. GMT-3","1","Cena","Otra","17"
"2021/06/17 9:34:08 a. m. GMT-3","1","Cena","Otra","17"
"2021/06/17 9:34:12 a. m. GMT-3","2","Cena","Otra","18"
"2021/06/17 9:34:19 a. m. GMT-3","1","Cena","Ninguna","17"
"2021/06/17 9:34:28 a. m. GMT-3","1","Almuerzo","McDonald's","17"
"2021/06/17 9:34:52 a. m. GMT-3","1","Cena","Otra","17"
"2021/06/17 9:39:23 a. m. GMT-3","1","Cena","Otra","18"
"2021/06/17 9:41:24 a. m. GMT-3","1","Cena","Otra","53"
"2021/06/17 9:44:11 a. m. GMT-3","1","Cena","Otra","14"
"2021/06/17 9:45:12 a. m. GMT-3","1","Cena","Ninguna","54"
"2021/06/17 9:46:16 a. m. GMT-3","1","Cena","Otra","17"
"2021/06/17 9:46:34 a. m. GMT-3","3","Cena","Otra","37"
"2021/06/17 9:46:36 a. m. GMT-3","2","Cena","Otra","21"
"2021/06/17 9:46:51 a. m. GMT-3","1","Cena","McDonald's","43"
"2021/06/17 9:47:19 a. m. GMT-3","1","Almuerzo","Otra","23"
"2021/06/17 9:47:20 a. m. GMT-3","2","Cena","Otra","26"
"2021/06/17 9:47:34 a. m. GMT-3","1","Cena","Ninguna","53"
"2021/06/17 9:47:52 a. m. GMT-3","1","Desayuno","Ninguna","52"
"2021/06/17 9:49:01 a. m. GMT-3","1","Cena","McDonald's","38"
"2021/06/17 9:49:06 a. m. GMT-3","2","Cena","Burger King","27"
"2021/06/17 9:49:09 a. m. GMT-3","2","Cena","Otra","53"
"2021/06/17 9:50:04 a. m. GMT-3","1","Cena","Otra","18"
"2021/06/17 9:50:33 a. m. GMT-3","1","Cena","Otra","22"
"2021/06/17 9:50:42 a. m. GMT-3","1","Cena","McDonald's","20"
"2021/06/17 9:50:58 a. m. GMT-3","1","Cena","Otra","26"
"2021/06/17 9:51:43 a. m. GMT-3","1","Cena","Otra","46"
"2021/06/17 9:57:46 a. m. GMT-3","1","Cena","McDonald's","17"
"2021/06/17 9:57:49 a. m. GMT-3","1","Cena","Otra","41"
"2021/06/17 9:58:30 a. m. GMT-3","0","Cena","Otra","44"
"2021/06/17 9:58:44 a. m. GMT-3","2","Cena","Ninguna","70"
"2021/06/17 9:59:27 a. m. GMT-3","3","Cena","McDonald's","38"
"2021/06/17 10:02:05 a. m. GMT-3","Cada 15 días","Cena","McDonald's","18"
"2021/06/17 10:04:31 a. m. GMT-3","1","Cena","Otra","17"
"2021/06/17 10:05:42 a. m. GMT-3","1","Cena","McDonald's","27"
"2021/06/17 10:06:00 a. m. GMT-3","1","Almuerzo","Ninguna","44"
"2021/06/17 10:07:31 a. m. GMT-3","2","Cena","Otra","22"
"2021/06/17 10:07:58 a. m. GMT-3","1","Cena","Otra","42"
"2021/06/17 10:09:36 a. m. GMT-3","Cada 15 días","Cena","McDonald's","24"
"2021/06/17 10:09:55 a. m. GMT-3","2","Almuerzo","McDonald's","20"
"2021/06/17 10:10:38 a. m. GMT-3","Cada 15 días","Cena","McDonald's","53"
"2021/06/17 10:11:42 a. m. GMT-3","1","Cena","Otra","36"
"2021/06/17 10:12:28 a. m. GMT-3","Cada 15 días","Cena","Ninguna","37"
"2021/06/17 10:13:25 a. m. GMT-3","0","Cena","Ninguna","53"
"2021/06/17 10:15:27 a. m. GMT-3","0","Cena","Burger King","45"
"2021/06/17 10:15:41 a. m. GMT-3","3","Almuerzo","Burger King","17"
"2021/06/17 10:17:04 a. m. GMT-3","0","Cena","Ninguna","36"
"2021/06/17 10:18:00 a. m. GMT-3","Cada 15 días","Cena","Otra","34"
"2021/06/17 10:25:24 a. m. GMT-3","0","Cena","Ninguna","53"
"2021/06/17 10:35:57 a. m. GMT-3","Cada 15 días","Almuerzo","Otra","14"
"2021/06/17 10:43:27 a. m. GMT-3","1","Almuerzo","Otra","54"
"2021/06/17 11:11:06 a. m. GMT-3","0","Cena","Otra","34"
"2021/06/17 12:07:57 p. m. GMT-3","1","Almuerzo","Otra","53"
"2021/06/17 1:09:54 p. m. GMT-3","3","Almuerzo","Otra","53"
"2021/06/17 1:43:06 p. m. GMT-3","1","Almuerzo","Otra","53"
"2021/06/17 3:51:58 p. m. GMT-3","3","Cena","McDonald's","38"
"2021/06/17 4:21:59 p. m. GMT-3","1","Almuerzo","Otra","23"
"2021/06/17 4:33:03 p. m. GMT-3","1","Cena","Otra","53"
"2021/06/17 5:30:05 p. m. GMT-3","1","Cena","Otra","53"
"2021/06/17 9:24:21 p. m. GMT-3","Cada 15 días","Cena","McDonald's","10"
"2021/06/17 10:48:15 p. m. GMT-3","3","Cena","Otra","37"
"2021/06/18 9:53:26 a. m. GMT-3","1","Cena","Subway","17"
