,nro_registro_interno,fecha_ingreso_denuncia,tema,subtema,referido_tipo,nacionalidad,provincia,localidad,genero,edad_aparente,embarazada,discapacidad,provincia_indec_id
0,2584554505,2020-01-01,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Buenos Aires,Buenos Aires,Mujer,14.0,No,No,6.0
1,2584554505,2020-01-01,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,36.0,No,No,6.0
2,3584554505,2020-01-02,Trata,"Extracción forzosa de órganos, tejidos o fluidos",Acusado,Argentina,Buenos Aires,San Francisco Solano,Hombre,60.0,No,No,6.0
3,594554505,2020-01-02,Trata,Explotación sexual,Acusado,Argentina,Córdoba,Laboulaye,Hombre,No especifica,No,No,14.0
19,1525554505,2020-01-07,Trata,"Persona desaparecida, venta de niños y otros delitos",Victima directa,Argentina,Buenos Aires,Melchor Romero,Mujer,27.0,No,No,6.0
23,7525554505,2020-01-08,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Melchor Romero,Mujer,No especifica,No,No,6.0
25,2535554505,2020-01-09,Trata,Posible captación,Victima directa,Argentina,Mendoza,Rivadavia,Mujer,24.0,No,No,50.0
26,3535554505,2020-01-09,Trata,Posible captación,Victima directa,Argentina,Mendoza,Rivadavia,Mujer,No especifica,No,No,50.0
30,545554505,2020-01-09,Trata,Posible captación,Acusado,Argentina,Buenos Aires,San Isidro,Mujer,No especifica,No,No,6.0
35,4555554505,2020-01-11,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,San Miguel,Mujer,No especifica,No,No,6.0
37,9465554505,2020-01-11,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Hombre,50.0,No,No,6.0
38,565554505,2020-01-11,Trata,"Persona desaparecida, posible captación",Victima directa,Argentina,Buenos Aires,Gobernador Costa,Mujer,24.0,Si,No,6.0
47,5594654505,2020-01-16,Trata,Explotación laboral,Victima directa,Argentina,Buenos Aires,Marcos Paz,Hombre,No especifica,No,No,6.0
48,4505654505,2020-01-16,Trata,"Explotación laboral, explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,Buenos Aires,Virrey del Pino,Mujer,No especifica,No,No,6.0
51,8415654505,2020-01-17,Trata,Explotación sexual,Victima directa,Argentina,Tucumán,San Miguel de Tucumán,Mujer,No especifica,No,No,90.0
53,1515654505,2020-01-17,Trata,Persona desaparecida,Victima indirecta - familiar,Argentina,Tucumán,Famaillá,Mujer,No especifica,No,No,90.0
58,5515654505,2020-01-18,Trata,Persona desaparecida,Victima directa,Argentina,Córdoba,Jesus María,Mujer,No especifica,No,No,14.0
61,9425654505,2020-01-19,Trata,Explotación sexual,Acusado,Argentina,Tucumán,San Miguel de Tucumán,Hombre,No especifica,No,No,90.0
64,4535654505,2020-01-21,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Los Polvorines,Hombre,No especifica,No,No,6.0
73,2555654505,2020-01-22,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Villa Tesei,Mujer,28.0,Si,Si,6.0
74,4555654505,2020-01-23,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Los Polvorines,Hombre,No especifica,No,No,6.0
75,3555654505,2020-01-23,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Pablo Nogués,Hombre,37.0,No,No,6.0
76,3555654505,2020-01-23,Trata,Persona desaparecida,Victima indirecta - familiar,Argentina,Buenos Aires,Bella Vista,Mujer,60.0,No,No,6.0
77,8465654505,2020-01-23,Trata,"Explotación sexual, pornografía infantil",Victima directa,Argentina,Buenos Aires,La Lonja Pilar Centro,Mujer,No especifica,No,No,6.0
79,8465654505,2020-01-23,Trata,"Explotación sexual, pornografía infantil",Victima directa,Argentina,Buenos Aires,Pilar Centro,Hombre,No especifica,No,No,6.0
80,565654505,2020-01-23,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Bahía Blanca,Hombre,No especifica,No,No,6.0
89,5584754505,2020-01-26,Trata,Posible captación,Victima directa,Argentina,Córdoba,Córdoba,Mujer,No especifica,No,No,14.0
94,5505754505,2020-01-29,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,Barracas,Mujer,No especifica,No,No,6.0
97,515754505,2020-01-29,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,Barracas,Mujer,No especifica,No,No,6.0
98,2515754505,2020-01-30,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,Barracas,Mujer,No especifica,No,No,6.0
100,6515754505,2020-01-30,Trata,Explotación sexual,Victima directa,Argentina,Corrientes,Esquina,Mujer,No especifica,No,No,18.0
112,4525754505,2020-02-01,Trata,Posible captación,Acusado,Argentina,Mendoza,GUAYAMALLÉN,Hombre,No especifica,No,No,50.0
120,3545754505,2020-02-02,Trata,Explotación laboral,Victima directa,Argentina,Buenos Aires,Cañuelas,Hombre,No especifica,No,No,6.0
